gender,occupation,party,ep_date,name,bio
0,ACADEMIC,,2012-04-16,A.C. GRAYLING,"Anthony Grayling , better known as AC Grayling, is a British philosopher and a Supernumerary Fellow of St Anne's College, Oxford. Last year he founded the New College of the Humanities, an independent undergraduate college in London. Until 2011 he was Professor of Philosophy at Birkbeck College, University of London. He is also associated in the UK with the new atheism movement.
Anthony has written and edited over twenty books on philosophy and other subjects; among his most recent are ""The Good Book"", ""Ideas That Matter"", ""Liberty in the Age of Terror"" and ""To Set Prometheus Free"". For several years he wrote the ""Last Word"" column for the Guardian newspaper and now writes a column for the Times. He is a frequent contributor to the Literary Review, Observer, Independent on Sunday, Times Literary Supplement, Index on Censorship and New Statesman, and is an equally frequent broadcaster on BBC Radios 4, 3 and the World Service. He writes the ""Thinking Read"" column for the Barnes and Noble Review in New York.
AnthonyÌâåÕs books on civil liberties and Enlightenment values have been politically influential, and in 2010, he was one of 55 public figures who sent a letter to The Guardian expressing their opposition to Pope Benedict XVI's state visit to the UK. For several years Anthony was a Fellow of the World Economic Forum , and a member of its C-100 group on relations between the West and the Islamic world. He is a Fellow of the Royal Society of Literature and a Fellow of the Royal Society of Arts. 
Anthony sits on the editorial boards of several academic journals, and for nearly ten years was the Honorary Secretary of the principal British philosophical association, the Aristotelian Society. He is a past chairman of June Fourth, a human rights group concerned with China, and is a representative to the UN Human Rights Council for the International Humanist and Ethical Union. He is a Vice President of the British Humanist Association, the Patron of the United Kingdom Armed Forces Humanist Association, a patron of Dignity in Dying, and an Honorary Associate of the National Secular Society.
 
Born in 1949 in Northern Rhodesia, now Zambia, Anthony moved to England in his teens and now lives in London . He is married with three children."
0,ACADEMIC,,2013-03-25,A.C. GRAYLING,"Anthony Grayling , better known as AC Grayling, is a British philosopher and a Fellow of St Anne's College, Oxford. Until 2011 he was Professor of Philosophy at Birkbeck College, University of London. He is also associated in the UK with the new atheism movement.
Anthony has written and edited over 20 books on philosophy and other subjects. Among his most recent are The Good Book, Ideas That Matter, Liberty in the Age of Terror and To Set Prometheus Free. For several years he wrote for The Guardian newspaper and now writes a column for The Times. He is a frequent contributor to The Literary Review, The Observer, The Independent on Sunday, The Times Literary Supplement, Index on Censorship and New Statesman, and is also a frequent broadcaster on the BBC. He writes the Thinking Read column for The Barnes and Noble Review in New York.
AnthonyÌâåÕs books on civil liberties and Enlightenment values have been politically influential, and in 2010 he was one of 55 public figures who sent a letter to The Guardian expressing their opposition to Pope Benedict state visit to the UK. For several years Anthony was a Fellow of the World Economic Forum , and a member of its C-100 group on relations between the West and the Islamic world. He is a Fellow of the Royal Society of Literature and a Fellow of the Royal Society of Arts. 
Anthony sits on the editorial boards of several academic journals, and for nearly ten years was the honorary secretary of the principal British philosophical association, the Aristotelian Society. He is a past chairman of June Fourth, a human rights group concerned with China, and is a representative to the UN Human Rights Council for the International Humanist and Ethical Union. He is a Vice President of the British Humanist Association, the Patron of the United Kingdom Armed Forces Humanist Association, a patron of Dignity in Dying, and an Honorary Associate of the National Secular Society.
Born in 1949 in Northern Rhodesia, now Zambia, Anthony moved to England in his teens and now lives in London . He is married with three children."
0,POLITICIAN,GREENS,2011-06-27,ADAM BANDT,"Adam Bandt is the Federal Member for Melbourne and the sole Greens MP in the Lower House. He was elected in 2010 when he made history by becoming the first Greens MP elected to the House of Representatives at a general election. 
Adam is the industrial relations and banking spokesperson for the Greens and a participant in the governmentÌâåÕs Multi-Party Committee on Climate Change. 
Since being elected to Parliament he has successfully moved motions on marriage equality and condemning the governmentÌâåÕs refugee deal with Malaysia. He has introduced legislation on protecting the Alpine National Park, banking reform, banning live animal exports, Parliamentary approval for sending troops overseas and compensating fire fighters with cancer.
Adam competed Honours degrees in Arts and Law at Murdoch University, where he won the Sir Ronald Wilson Prize for Academic Achievement. He completed a PhD at Monash University in 2008. 
His thesis looked at the recent trend of governments suspending basic human rights in areas such as migration, workplace relations and criminal law. He has written articles for many publications and has taught industrial relations law at RMIT. 
For many years he worked at the labour law firm Slater & Gordon where he became a partner in the industrial and public interest unit, the same job Prime Minister Julia Gillard used to have. He is now a barrister who specialises in the field of industrial, employment and public interest law. 
Adam has represented many unions and low paid workers and has worked on cases involving freedom of speech and implementation of international covenants into Australian law. 
Adam lives in Flemington with his partner Claudia and their two dogs."
0,POLITICIAN,GREENS,2013-08-12,ADAM BANDT,"Adam Bandt is the Federal Member for Melbourne and the sole Greens MP in the Lower House. He was elected in 2010 when he made history by becoming the first Greens MP elected to the House of Representatives at a general election. 
Adam is the industrial relations and banking spokesperson for the Greens and a participant in the governmentÌâåÕs Multi-Party Committee on Climate Change. 
Since being elected to Parliament he has successfully moved motions on marriage equality and condemning the governmentÌâåÕs proposed refugee deal with Malaysia. He has introduced legislation on protecting the Alpine National Park, banking reform, banning live animal exports, parliamentary approval for sending troops overseas and compensating fire fighters with cancer.
Adam completed Honours degrees in Arts and Law at Murdoch University, where he won the Sir Ronald Wilson Prize for academic achievement. He completed a PhD at Monash University in 2008. His thesis looked at the trend of governments suspending basic human rights in areas such as migration, workplace relations and criminal law. He has written articles for many publications and has taught industrial relations law at RMIT. 
For many years he worked at the labour law firm Slater & Gordon where he became a partner in the industrial and public interest unit, the same job former Prime Minister Julia Gillard once had. He is now a barrister who specialises in the field of industrial, employment and public interest law. In this role he has represented many unions and low paid workers and has worked on cases involving freedom of speech and implementation of international covenants into Australian law. 
Adam lives in Flemington with his partner Claudia and their two dogs."
1,COMIC,,2015-05-04,ADRIENNE TRUSCOTT,"US native Adrienne Truscott is a comedian, writer, dancer and circus performer who has been making genre-straddling work for over 15 years. She is also one half of The Wau Wau Sisters, a boundary-busting cabaret act. Her solo comedic work and group works have been presented at such prestigious events as the Edinburgh Fringe Festival, Just For Laughs Festival Montreal, Adelaide Fringe, the Melbourne International Comedy Festival, Sydney Festival and regular appearances in New York's PS122, JoeÌâåÕs Pub and The Kitchen among others. 
In 2013, her critically acclaimed show Adrienne Truscott's Asking For It: A One-Lady Rape About Comedy Starring Her Pussy and Little Else! won the Foster's Panel Prize at the Edinburgh Fringe, and has been touring since then, including the 2015 Sydney and Perth Comedy Festivals this May. 
She is a contributing writer for The Guardian and is currently developing projects for television. As an artist, she wears many hats and is attracted to the possibility of failure."
1,AUTHOR,,2013-02-25,AHDAF SOUEIF,"Ahdaf Soueif was born in Cairo and educated in Egypt and in England, where she studied for a PhD at the University of Lancaster.
She is the author of two collections of short stories, 
, and two novels. 
 is about a young Egyptian woman's life in Egypt and England, set against key events in the history of modern Egypt. 
 is the story of a love affair between an Englishwoman and an Egyptian nationalist set in Cairo in 1900. 
 was shortlisted for the Booker Prize for Fiction.
In 2004 her book of essays, 
, was published. Her most recent work is 
, a personal account of the 2011 Egyptian revolution.
She writes regularly for 
 and is a key political commentator on Egypt and Palestine. She is the founder of the Palestine Festival of Literature, Pal Fest, and has made many programs for Arab, American and British TV and radio stations.
Ahdaf lives in London and Cairo."
0,COMIC,,2014-02-03,AKMAL SALEH,"Movies, stand-Up, TV appearances, radio DJ and talk show host, improvisation and a published author - Akmal Saleh is one of Australia's most respected and accomplished comics.
Akmal immigrated to Australia from Egypt with his family nearly 30 years ago. He was 11 years old and spoke no English.  ""My parents didn't tell us where we were going. We thought it was two hours away. Twenty hours later, we got off a plane. We were on another planet"". AkmalÌâåÕs Arab heritage steers his comedy to issues of religion, honesty, and race in which he is able to deal with hot topics in a hilarious and non-offensive way. Last year he released a documentary film Pharoah versus the Egyptians, filmed with activists in Cairo about the Egyptian uprising and role of social media.
Over the last 10 years Akmal has made regular appearances on national television shows such as 
 and 
 and appeared at Festivals all around the world including Adelaide Fringe Festival, Vancouver Comedy Festival, and the Edinburgh Fringe Festival. He wrote and starred in the feature film 
 to critical acclaim and hosted the popular 
 drive radio show on the Nova network. Most recently Akmal returned to the stage with his National sell out tour 
. 
Akmal currently lives in Byron Bay with his wife and will embark on a national tour 
 in early 2014."
0,JOURNALIST,,2015-02-09,ALAN JONES,"Alan Jones is a graduate of Queensland and Oxford Universities, with majors in English and French language and literature, politics and education.
He has University Blues from both Queensland and Oxford in tennis.
For three years, Alan was speech writer and senior adviser to the then Prime Minister, the Right Honourable Malcolm Fraser.
Alan was elected Australian Rugby Union Coach in 1984 and coached Australia, until early 1988, victories in 102 matches. 
Alan is regarded by many as one of Australia's most gifted public speakers.
In March 1985, Alan Jones was recruited to join Radio 2UE as their morning radio host and quickly established himself in the competitive world of Sydney radio. In March 1988, he moved to the breakfast shift, 5.30am to 9.00am and achieved the largest breakfast audience and also the largest radio audience in Australia.
In 2002, Alan Jones joined 2GB as Breakfast announcer and this year, renewed his commitment to the station until 2017.
In 2004, Alan received a Queen's Birthday Honour - an Officer of the Order of Australia (AO) partly for his service to the media and sports' administration, but also helping many charities, including Youth off the Streets, the Children's Hospital, Starlight Foundation, the Sir Edward Dunlop Medical Research Foundation and the Heart Research Institute."
1,OTHER,,2011-05-02,ALANA JOHNSON,"Alana Johnson is a fifth generation farmer, a rural consultant and a clinical Family Therapist and Social Worker.
She received the Rural Industries Research and Development Corporation Rural Woman's Award in 2010 for her work on developing philanthropy in the agriculture sector. 
For the past 3 decades Alana has been engaged in cattle production, farm forestry and landscape renovation on the family property near Benalla in Victoria.
Alana is recognized nationally and internationally for her work on Change Management, Farm Succession Planning and Leadership Training. 
She is currently working in India to organize the 5th International Congress of Rural Women in 2012.\
Alana is a pioneer of the rural womenÌâåÕs movement in Australia having been a founding member of Australian Women in Agriculture and is currently Chair of the WomenÌâåÕs Advisory Panel to the Victorian Minister for Agriculture.
Alana is a graduate of the Australian Rural Leadership Program and is currently a PhD candidate at Monash University researching sustainable agriculture.
Alana was a participant in the 2020 Summit and a facilitator at the National Rural WomenÌâåÕs Summit and she holds the rural portfolio on the Board of the Victorian WomenÌâåÕs Trust."
1,POLITICIAN,LABOR,2012-11-05,ALANNAH MACTIERNAN,"Alannah MacTiernan graduated in arts and later law at the University of Western Australia. Her first role was working for the Commonwealth Government in Aboriginal Employment and Training around Western Australia.
She then established and operated a local newspaper, the 
. This paper eventually became the 
 and is still in publication today.
In 1987, Alannah began legal practice in the commercial law department of Dwyer Durack, becoming a partner in 1992.
After establishing the Inner City Residents Action Group, Alannah was elected to the Perth City Council in 1988 and served as a Councillor until 1994. 
Alannah was appointed as an inaugural member of the WA Heritage Council in 1990.
She was first elected to Parliament in 1993 as Member of the Legislative Council and in 1996 as the member for Armadale in the Legislative Assembly.
Alannah served as WA Minister for Planning and Infrastructure from 2001- 2008. In this role she oversaw many major projects including roads, ports and of course the development of the Mandurah Railway line, at the time a highly controversial project but now widely hailed as a success.
Alannah had responsibility for three government departments, four land development authorities and eight port authorities and oversaw big changes in policy and practice throughout her portfolio. During that time, she pioneered deliberative democracy processes that bought competing interests together to develop practical solutions and directions for Government decision making.
After 17 years in State Parliament, Alannah resigned in 2010 to contest the Federal election in the seat of Canning. Despite a good swing, she was unsuccessful and now divides her time between the non for profit sector and working for companies involved with renewable energy and affordable housing.
Alannah was elected as the mayor of the City of Vincent in October 2011."
