"PETER COSGROVE",2009-02-12,MILITARY,
"TIM FLANNERY",2009-02-12,SCIENTIST,
"FIONA WOOD",2009-02-12,OTHER,
"JONTY BUSH",2009-02-12,OTHER,
"TANIA MAJOR",2009-02-12,OTHER,
"WAYNE SWAN",2009-02-19,POLITICIAN,LABOR
"JOE HOCKEY",2009-02-19,POLITICIAN,LIBERAL
"CHRISTINE MILNE",2009-02-19,POLITICIAN,GREENS
"PAUL HOWES",2009-02-19,"UNION LEADER",
"KATE CARNELL",2009-02-19,BUSINESSPERSON,
"BILL SHORTEN",2009-02-26,POLITICIAN,LABOR
"CHRISTOPHER PYNE",2009-02-26,POLITICIAN,LIBERAL
"JONATHAN BIGGINS",2009-02-26,ACTOR,
"SABRINA HOUSSAMI",2009-02-26,OTHER,
"DR LESLIE CANNOLD",2009-02-26,OTHER,
"PETER COSTELLO",2009-03-05,EX-POLITICIAN,LIBERAL
"LINDSAY TANNER",2009-03-05,POLITICIAN,LABOR
"GEOFF COUSINS",2009-03-05,BUSINESSPERSON,
"SALLY WARHAFT",2009-03-05,JOURNALIST,
"REBECCA WEISSER",2009-03-05,JOURNALIST,
"MAXINE MCKEW",2009-03-12,POLITICIAN,LABOR
"SCOTT MORRISON",2009-03-12,POLITICIAN,LIBERAL
"JOHN SYMOND",2009-03-12,BUSINESSPERSON,
"NOELINE BROWN",2009-03-12,"TV PERSONALITY",LABOR
"TANVEER AHMED",2009-03-12,OTHER,
"TONY ABBOTT",2009-03-19,POLITICIAN,LIBERAL
"KATE ELLIS",2009-03-19,POLITICIAN,LABOR
"FATHER PETER KENNEDY",2009-03-19,CLERIC,
"BRUCE WOLPE",2009-03-19,BUSINESSPERSON,
"BETTINA ARNDT",2009-03-19,OTHER,
"STEPHEN CONROY",2009-03-26,POLITICIAN,LABOR
"GREG HUNT",2009-03-26,POLITICIAN,LIBERAL
"ANDREW BOLT",2009-03-26,JOURNALIST,
"LOUISE ADLER",2009-03-26,BUSINESSPERSON,
"SUSAN CARLAND",2009-03-26,COMIC,
"TANYA PLIBERSEK",2009-04-02,POLITICIAN,LABOR
"GEORGE BRANDIS",2009-04-02,POLITICIAN,LIBERAL
"SATYAJIT DAS",2009-04-02,BUSINESSPERSON,
"DENNIS ALTMAN",2009-04-02,AUTHOR,
"RACHEL FRY",2009-04-02,OTHER,LIBERAL
"TONY BURKE",2009-04-09,POLITICIAN,LABOR
"HELEN COONAN",2009-04-09,POLITICIAN,LIBERAL
"HELEN COONAN",2009-04-09,POLITICIAN,LIBERAL
"JOHN HEWSON",2009-04-09,EX-POLITICIAN,LIBERAL
"JANE CARO",2009-04-09,OTHER,
"JANE CARO",2009-04-09,OTHER,
"ANDREW BOE",2009-04-09,OTHER,
"CHRIS BOWEN",2009-04-16,POLITICIAN,LABOR
"SOPHIE MIRABELLA",2009-04-16,POLITICIAN,LIBERAL
"CATHERINE DEVENY",2009-04-16,JOURNALIST,
"JOHN ELLIOTT",2009-04-16,BUSINESSPERSON,LIBERAL
"STEPHEN CRITTENDEN",2009-04-16,JOURNALIST,
"JULIE BISHOP",2009-04-23,POLITICIAN,LIBERAL
"CRAIG EMERSON",2009-04-23,POLITICIAN,LABOR
"P.J. O'ROURKE",2009-04-23,AUTHOR,
"DAVID MARR",2009-04-23,JOURNALIST,
"DR CINDY PAN",2009-04-23,OTHER,
"PETER GARRETT",2009-04-30,POLITICIAN,LABOR
"BARNABY JOYCE",2009-04-30,POLITICIAN,NATIONAL
"PRU GOWARD",2009-04-30,POLITICIAN,LIBERAL
"WESLEY ENOCH",2009-04-30,ARTIST,
"SARAH HANSON-YOUNG",2009-04-30,POLITICIAN,GREENS
"SARAH HANSON-YOUNG",2009-04-30,POLITICIAN,GREENS
"SHARMAN STONE",2009-05-07,POLITICIAN,LIBERAL
"MARK ARBIB",2009-05-07,POLITICIAN,LABOR
"GUY RUNDLE",2009-05-07,JOURNALIST,
"GREG SHERIDAN",2009-05-07,JOURNALIST,
"RANDA ABDEL-FATTAH",2009-05-07,OTHER,
"LINDSAY TANNER",2009-05-14,POLITICIAN,LABOR
"JOE HOCKEY",2009-05-14,POLITICIAN,LIBERAL
"GEOFF COUSINS",2009-05-14,BUSINESSPERSON,
"MISHA SCHUBERT",2009-05-14,JOURNALIST,
"ELIZABETH ANN MACGREGOR",2009-05-14,ARTIST,
"PENNY WONG",2009-05-21,POLITICIAN,LABOR
"TONY ABBOTT",2009-05-21,POLITICIAN,LIBERAL
"BOB ELLIS",2009-05-21,AUTHOR,
"SUE CATO",2009-05-21,BUSINESSPERSON,
"WENDY MACHIN",2009-05-21,BUSINESSPERSON,
"KATE ELLIS",2009-05-28,POLITICIAN,LABOR
"BRENDAN NELSON",2009-05-28,EX-POLITICIAN,LIBERAL
"WILLIAM MCINNES",2009-05-28,ACTOR,
"PETER HOLMES À COURT",2009-05-28,BUSINESSPERSON,
"MIRIAM LYONS",2009-05-28,OTHER,
"NICOLA ROXON",2009-07-23,POLITICIAN,LABOR
"NICK MINCHIN",2009-07-23,POLITICIAN,LIBERAL
"DR CHARLIE TEO",2009-07-23,OTHER,
"JULIAN MORROW",2009-07-23,COMIC,
"JESSICA BROWN",2009-07-23,OTHER,
"ANNA BLIGH",2009-07-30,POLITICIAN,LABOR
"GEORGE BRANDIS",2009-07-30,POLITICIAN,LIBERAL
"DAVID PENBERTHY",2009-07-30,JOURNALIST,
"TANIA MAJOR",2009-07-30,OTHER,
"SIMON SHEIKH",2009-07-30,OTHER,
"JULIA GILLARD",2009-08-06,POLITICIAN,LABOR
"MALCOLM TURNBULL",2009-08-06,POLITICIAN,LIBERAL
"SARA HAGHDOOSTI",2009-08-06,OTHER,
"MITCHELL GRADY",2009-08-06,OTHER,LIBERAL
"LINDEN BROWNLEY",2009-08-06,OTHER,
"CRAIG EMERSON",2009-08-13,POLITICIAN,LABOR
"CHRISTOPHER PYNE",2009-08-13,POLITICIAN,LIBERAL
"PIERS AKERMAN",2009-08-13,JOURNALIST,
"SHARAN BURROW",2009-08-13,"UNION LEADER",
"INDIRA NAIDOO",2009-08-13,JOURNALIST,
"ANTHONY LAPAGLIA",2009-08-20,ACTOR,
"MAXINE MCKEW",2009-08-20,POLITICIAN,LABOR
"CANDY BOWERS",2009-08-20,ARTIST,
"JUDGE FELICITY HAMPEL SC",2009-08-20,OTHER,
"TONY SMITH",2009-08-20,POLITICIAN,LIBERAL
"RICHARD FLANAGAN",2009-08-27,AUTHOR,
"KAMILA SHAMSIE",2009-08-27,AUTHOR,
"TARA JUNE WINCH",2009-08-27,AUTHOR,
"LINDSAY TANNER",2009-08-27,POLITICIAN,LABOR
"TONY ABBOTT",2009-08-27,POLITICIAN,LIBERAL
"HELEN LIDDELL",2009-09-03,OTHER,
"TONY BURKE",2009-09-03,POLITICIAN,LABOR
